id,Decision
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,1
329,0
330,0
331,1
332,1
333,0
334,0
335,1
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,0
381,0
382,1
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,0
416,1
417,1
418,1
419,0
